UNITED STATES,394635,1349339,14728,858762,9403713,1896260,1104037,166758800,3113000,8244400,27222300,13193800,282171957,72385221,25.7,112806642,18964001,19381336,20510388,10067027,3115586,56604,9009327,4662368,33899812,239982420,6620945
ALABAMA,4990,17990,283,11476,151127,33645,10845,2416422,56061,116071,406340,147909,4451849,1122339,25.2,1707598,306865,301196,301819,250526,72749,46719,120781,53844,698097,3636822,153113
"Autauga| AL",50,191,2,124,1540,311,78,16289,463,493,3892,1017,43872,12524,28.5,19347,2344,2712,3028,1635,486,49219,1592,638,4738,38639,1022
"Baldwin| AL",36,264,1,213,3817,638,122,70247,1403,2449,16184,6779,141358,34472,24.4,58343,7092,8088,8932,4874,1780,50903,4676,1903,14018,124130,3082
"Barbour| AL",1,30,0,29,64,17,1,15197,579,764,2068,570,29035,7370,25.4,9899,1928,2058,2008,2425,607,39571,539,211,7032,19207,1605
"Bibb| AL",0,0,0,0,0,0,0,6098,208,310,793,245,19936,5287,26.5,8687,1422,1606,1642,1157,404,40231,527,170,4091,15761,832
"Blount| AL",7,87,1,75,1102,226,75,16503,1540,686,2691,818,51181,12968,25.3,19416,3035,3481,3680,2377,685,44974,1380,494,5930,44569,1271
"Bullock| AL",0,0,0,0,0,0,0,4557,589,173,506,132,11604,3015,26,3911,880,862,742,1158,319,31119,164,41,3405,6764,811
"Butler| AL",0,1,0,1,6,2,0,9471,573,407,1712,358,21313,5715,26.8,6597,1188,1154,1182,1809,492,40292,351,124,5205,15938,1202
"Calhoun| AL",170,682,8,449,4738,1491,296,61517,867,2322,11663,2393,111342,26143,23.5,42361,8129,7099,7333,6730,1897,42142,2648,1118,17695,92135,3899
"Chambers| AL",14,150,4,129,670,184,26,16562,422,803,2519,425,36593,8997,24.6,10988,2188,2386,2364,2496,692,40868,657,184,6134,29872,1475
"Cherokee| AL",1,3,0,2,156,42,7,7964,895,370,1379,367,24053,5325,22.1,7829,1287,1547,1599,1331,586,40205,545,174,3672,19929,849
"Chilton| AL",4,49,0,44,198,26,19,12376,836,656,2545,552,39781,10200,25.6,15271,2586,2756,2727,2137,743,41260,1092,346,6152,33027,1438
"Choctaw| AL",0,3,0,3,26,12,0,6281,270,232,772,0,15850,4118,26,4107,863,963,940,1268,495,39514,318,164,3858,11880,942
"Clarke| AL",5,52,0,38,316,46,9,13340,321,623,2489,625,27833,7792,28,8160,1552,1739,1790,2030,605,41782,682,314,6207,21272,1407
"Clay| AL",0,4,0,4,66,22,3,7313,547,307,649,198,14264,3395,23.8,4399,790,898,914,944,293,36028,256,39,2392,11589,529
"Cleburne| AL",1,7,0,6,209,16,11,5138,461,0,622,131,14156,3437,24.3,4860,780,918,1005,780,307,38773,272,96,1953,12051,454
"Coffee| AL",23,105,0,65,726,237,42,20707,1110,776,4014,1195,43540,10767,24.7,17817,2712,2897,2770,2146,772,42577,1236,432,6285,36482,1419
"Colbert| AL",15,77,1,50,1556,287,35,28934,737,1306,5004,1243,55024,13052,23.7,17442,3069,3390,3595,3264,1030,42937,1448,610,7592,46792,1790
"Conecuh| AL",2,22,2,18,147,41,5,5935,447,1032,608,164,14040,3625,25.8,3849,799,808,842,1487,368,35174,231,65,3719,10268,853
"Coosa| AL",4,25,1,15,195,51,11,2816,246,49,182,63,11843,2871,24.2,3534,716,784,864,711,229,38608,229,67,1760,10028,410
"Covington| AL",0,0,0,0,0,0,0,18313,1153,1392,3051,821,37490,8798,23.5,11568,2054,2101,2265,2757,963,38668,663,260,6838,30225,1524
"Crenshaw| AL",6,97,1,85,270,72,23,5512,621,276,565,252,13696,3376,24.6,4393,746,848,775,1141,369,37411,233,93,2964,10444,729
"Cullman| AL",18,91,0,54,1828,492,155,39426,2853,2307,7443,1841,77580,18774,24.2,26848,4722,5098,5199,4122,1429,44162,1730,695,9935,66493,2139
"Dale| AL",17,191,5,153,1075,150,61,27222,568,956,2960,854,49068,13009,26.5,18120,3235,3832,3516,2591,1009,39435,988,373,7140,40165,1730
"Dallas| AL",76,563,1,451,2804,798,184,22565,706,801,3407,907,46181,13165,28.5,14028,2839,2742,2640,4801,1077,40568,887,325,14243,31621,3438
"DeKalb| AL",5,22,0,14,665,113,4,36088,2682,1201,4761,1091,64638,15919,24.6,24527,4164,4544,4569,3745,1364,41347,1134,433,9791,53824,2175
"Elmore| AL",21,95,2,61,1238,439,40,20779,732,770,3621,1083,66230,16999,25.7,29449,4116,4916,5000,2104,669,49330,2066,771,6187,54210,1298
"Escambia| AL",39,180,4,135,992,200,22,19035,507,2153,3177,868,38402,9248,24.1,13514,2571,2677,2509,2494,786,40000,672,271,7579,28737,1531
"Etowah| AL",15,144,2,118,1094,263,68,49943,1108,2272,9712,2448,103313,24562,23.8,34895,6253,6714,6764,6145,1728,42741,2516,1025,15938,85591,3631
"Fayette| AL",1,31,1,25,341,90,25,7950,390,418,1191,369,18456,4407,23.9,5338,1016,1142,1132,1280,397,37364,381,91,3144,15004,700
"Franklin| AL",7,29,0,20,186,35,16,15764,1073,421,2019,565,31208,7632,24.5,11002,2036,2195,2088,2229,704,40031,658,232,5814,24972,1369
"Geneva| AL",1,58,1,54,299,96,20,9461,1212,525,1360,430,25790,6176,23.9,8464,1317,1511,1662,1893,681,36328,456,130,5010,20527,1200
"Greene| AL",5,24,0,19,98,26,5,3154,381,198,389,83,9946,2893,29.1,2650,547,532,536,1121,290,37168,122,37,3391,6502,804
"Hale| AL",0,3,0,3,65,12,7,5808,606,194,679,189,18288,5089,27.8,4864,1033,1043,1026,1541,397,36774,292,115,4531,12324,1030
"Henry| AL",2,54,2,35,345,105,21,6883,559,232,793,0,16344,3928,24,5196,928,948,1037,1221,314,40445,346,143,3070,13038,692
"Houston| AL",105,353,10,187,3155,654,141,59731,992,4225,12263,2708,88919,22977,25.8,34554,5142,5756,5940,4868,1574,47638,2323,1290,13146,74500,2981
"Jackson| AL",8,93,1,79,1146,298,130,25271,1687,845,3812,962,54029,13025,24.1,17117,3155,3677,3727,3016,995,41389,1249,481,7293,46040,1640
"Jefferson| AL",1480,4396,94,2504,32586,7218,2895,480563,545,31330,77658,46631,662214,164046,24.8,241601,45580,47399,45466,33766,8774,52538,19917,9329,95674,551954,20639
"Lamar| AL",1,7,0,6,55,23,4,7214,470,815,796,252,15905,3739,23.5,4335,938,1015,1037,1113,418,35995,279,57,2521,13143,624
"Lauderdale| AL",29,168,1,130,1956,382,61,43685,1731,893,9171,2366,87982,20223,23,31783,6211,5643,5781,5040,1454,44581,2349,1042,12442,73807,2661
"Lawrence| AL",0,7,0,7,209,58,21,12344,1673,384,1780,388,34856,8940,25.6,11397,2009,2276,2695,2100,739,43540,782,386,5271,29290,1343
"Lee| AL",142,910,11,709,5596,1205,233,55217,559,1423,10769,2870,115511,26813,23.2,65427,18715,8924,7721,9563,1589,41320,3334,1585,24119,86458,3073
"Limestone| AL",29,107,1,70,1093,213,87,31245,1608,0,5627,1249,65930,16370,24.8,29883,4202,4546,5242,2755,1120,48240,2218,1014,7771,55172,1792
"Lowndes| AL",9,52,0,41,228,144,19,4545,519,174,496,184,13487,4068,30.2,3540,791,762,858,1362,309,38912,196,62,4209,9207,953
"Macon| AL",15,83,2,58,1009,341,55,8829,435,109,833,197,24075,6055,25.2,8287,2625,1426,1215,2366,584,34825,326,132,7139,14599,1483
"Madison| AL",341,1517,8,1092,13375,2525,895,195409,1270,5099,32380,9128,277868,70934,25.5,122911,17625,18060,20069,9756,3072,55114,10971,6228,28408,240987,6121
"Marengo| AL",16,126,2,102,403,87,14,10908,663,571,1534,474,22566,6418,28.4,6566,1201,1297,1323,2036,501,43579,565,246,5805,16606,1409
"Marion| AL",1,34,0,32,448,93,30,16071,854,929,1971,613,31149,7002,22.5,9734,1764,2053,2103,2149,688,39581,575,176,4731,25523,1090
"Marshall| AL",20,189,2,160,1345,289,79,44934,2050,1924,8088,2037,82333,20432,24.8,31685,4880,5631,5639,4576,1635,43345,1983,962,11895,69235,2802
"Mobile| AL",1185,2430,43,1083,23165,5883,2183,219419,1521,13236,36967,13486,400061,109767,27.4,146325,27932,26886,26370,22226,7243,45137,10362,3957,72549,319454,16720
"Monroe| AL",8,211,3,196,565,151,24,12363,549,1156,1718,371,24281,6858,28.2,7139,1378,1489,1541,1883,473,41758,545,175,5131,18941,1237
"Montgomery| AL",625,1683,35,898,15923,3736,1498,167335,934,7454,26088,13787,223413,57512,25.7,88416,18565,17002,15421,11151,3122,47655,6059,3336,36809,175468,7681
"Morgan| AL",0,3,0,3,69,15,13,63872,1498,2259,10680,3393,111194,28124,25.3,41139,6589,7228,7918,4944,1419,48913,3529,1725,13476,96163,3058
"Perry| AL",0,5,0,5,64,25,4,4086,465,90,506,117,11808,3511,29.7,3607,814,674,612,1177,374,32656,139,54,4026,7359,960
"Pickens| AL",4,29,0,25,135,56,9,6530,637,0,817,332,20904,5687,27.2,6096,1176,1154,1285,1738,441,38886,349,147,5161,15555,1180
"Pike| AL",35,153,2,107,1094,230,40,15770,805,1440,3147,784,29734,7218,24.3,14461,3267,1968,1795,2602,556,38623,479,150,6562,21886,1413
"Randolph| AL",7,63,1,53,541,136,24,8327,740,354,1221,311,22414,5619,25.1,7125,1280,1369,1413,1365,451,36396,368,111,3695,18025,785
"Russell| AL",30,182,4,127,1389,423,119,17506,332,632,3366,736,49692,13147,26.5,19061,3230,3488,3311,3827,992,37551,991,221,9743,39210,2253
"St. Clair| AL",4,70,1,54,633,64,30,20225,816,818,3836,1032,65079,16475,25.3,29770,3615,4471,4797,2597,860,47095,1779,752,7584,55217,1780
"Shelby| AL",33,102,3,43,1477,247,136,61555,622,2580,9120,4418,144523,37870,26.2,72027,8310,10823,11804,3191,1015,70046,6629,4020,8932,132540,1892
"Sumter| AL",3,14,0,11,196,34,6,5920,485,399,869,0,14748,4273,29,4909,1278,923,835,1786,422,31387,186,35,5611,8889,1209
"Talladega| AL",16,81,0,59,925,109,35,33160,674,1165,5334,1251,80338,20027,24.9,28320,5002,5353,5532,5324,1336,41345,1858,698,13501,63145,3065
